Contestant,SWE_DEV,AI_DEV_1,AI_DEV_2,MMVG_DEV,TECH_OL,TECH_OS
r_radoniaina11,463/2:48:59,600/2:47:50,570/2:55:47,377/4:33:10,211/0:43:31,-
valdotsiarohasi1,325/2:09:51,33/1:39:11,270/1:03:22,446/13:01:19,121/0:55:28,0/0:00:00
ramamj,300/0:57:22,-,871/4:00:21,-,300/0:36:39,281/0:44:42
nyainarazafindr1,1307/2:56:44,655/2:42:58,694/2:44:37,1396/9:47:34,300/0:04:12,600/2:55:33
andryhenintsoa,1200/2:24:32,600/0:55:34,523/3:13:40,1286/6:10:36,-,-
Antenaina,600/1:47:22,840/4:21:18,571/3:41:55,1432/7:34:36,166/0:54:58,75/1:55:48
afmika,600/2:59:08,337/2:27:32,900/5:08:08,-,300/0:37:37,524/4:59:37
ratife,483/2:58:16,-,-,624/5:10:42,0/0:00:00,260/3:32:16
teboka_roa,300/1:03:55,-,-,-,-,-
fanantenanaandr1,250/0:39:46,-,-,300/1:37:42,300/0:41:36,60/1:31:55
Aryna369,200/0:10:31,-,-,225/57:34:00,-,-
bakumaru24,130/0:52:13,-,-,478/4:33:23,-,-
tiantsoa_r1,110/0:43:02,-,-,-,-,-
sedera-tax,25/0:18:21,-,-,-,-,-
diamondraras,-,600/1:56:30,-,-,-,-
puchka,-,600/2:19:30,571/2:26:07,1033/7:50:24,300/0:27:53,300/2:03:14
fitiavana_raman1,-,300/0:44:38,-,-,-,-
Dimbi,-,-,271/2:06:10,219/2:31:02,-,-
David_Rambol,-,-,-,600/4:29:18,300/0:56:49,339/1:52:51
lan214,-,-,-,405/3:58:35,-,-
lolo_ramaromanana1,-,-,-,374/3:17:48,-,-
dinohratiarisan1,-,-,-,-,166/0:51:48,285/3:18:23
tovoherypascal,-,-,-,-,-,80/2:32:58
